2024-05-30 11:08:49.7473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3807 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-05-30 11:08:52.3956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-05-30 11:08:52.6088 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" received HEADERS frame for stream ID 7 with length 74 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-30 11:08:52.6088 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-30 11:08:53.8616 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS. 
2024-05-30 11:08:53.8616 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-05-30 11:08:53.8616 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 7 with length 5809 and flags NONE. 
2024-05-30 11:08:53.8616 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" received HEADERS frame for stream ID 1 with length 425 and flags END_HEADERS, PRIORITY. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" received DATA frame for stream ID 1 with length 120 and flags END_STREAM. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-30 11:10:25.4630 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-30 11:10:25.7117 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-05-30 11:10:25.7117 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-05-30 11:10:25.7117 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-05-30 11:10:25.7117 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-05-30 11:10:25.7117 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) with arguments (Job_Finder.Model.DTO.DtoUSR01) 
2024-05-30 11:10:28.5474 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-05-30 11:10:28.5474 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-05-30 11:10:28.5474 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-05-30 11:10:28.5474 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-05-30 11:10:29.0083 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS. 
2024-05-30 11:10:29.0083 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" sending DATA frame for stream ID 1 with length 3692 and flags NONE. 
2024-05-30 11:10:29.0083 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPH" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-05-30 12:07:52.1811 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-30 12:07:52.2036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-30 12:07:52.2036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-30 12:07:52.2055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-30 12:07:52.2055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-30 12:07:52.2055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" received HEADERS frame for stream ID 1 with length 469 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-30 12:07:52.2563 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-30 12:07:52.3077 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-30 12:07:53.0907 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-05-30 12:07:53.3373 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-30 12:07:53.3373 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-30 12:07:53.3373 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-30 12:07:53.3373 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-30 12:07:53.3373 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-05-30 12:07:53.3373 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40EC3NJ8B5" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
